,h,range,ip,des,diameter,last_obs_jd,id,fullname,ps_cum,ps_max,n_imp,ts_max,last_obs,v_inf
1833,26.16,2086-2122,4.105342e-06,2024 UN2,0.02,2460608.5,bK24U02N,(2024 UN2),-6.15,-6.44,14,0,2024-10-25,10.2532567664277
1834,26.99,2117-2122,1.2535e-06,2024 UL1,0.014,2460614.5,bK24U01L,(2024 UL1),-7.17,-7.34,3,0,2024-10-31,10.5000686078979
1835,26.58,2108-2118,2.1262e-08,2024 UN,0.016,2460613.5,bK24U00N,(2024 UN),-8.62,-8.96,3,0,2024-10-30,14.0631177687894
1836,28.59,2114-2123,6.1787e-08,2020 BB,0.0065,2458874.5,bK20B00B,(2020 BB),-9.42,-9.43,2,0,2020-01-26,3.43054606956156
1837,28.36,2040-2117,1.956733e-05,2021 CZ7,0.0072,2459260.5,bK21C07Z,(2021 CZ7),-6.29,-6.45,5,0,2021-02-15,9.07498081240517
1838,26.36,2100-2123,0.00022617211,2024 VK2,0.018,2460646.5,bK24V02K,(2024 VK2),-4.57,-4.58,8,0,2024-12-02,8.74999021851102
1839,27.17,2069-2107,1.3527033e-05,2024 UN8,0.012,2460624.5,bK24U08N,(2024 UN8),-6.06,-6.07,5,0,2024-11-10,4.91755231690497
1840,23.27,2122-2124,3.45519e-05,2020 UL3,0.075,2460846.5,bK20U03L,(2020 UL3),-3.98,-4.23,3,0,2025-06-20,10.1843707871347
1841,26.68,2109-2119,7.612e-09,2019 BB5,0.016,2458521.5,bK19B05B,(2019 BB5),-9.30,-9.40,2,0,2019-02-07,7.23213215974777
1842,28.26,2088-2124,6.129557e-06,2024 UB5,0.00759,2460614.5,bK24U05B,(2024 UB5),-7.00,-7.45,19,0,2024-10-31,11.1506304664432
1843,30.83,2081-2125,0.0015349276602,2025 DW,0.0023,2460726.5,bK25D00W,(2025 DW),-5.97,-6.16,29,0,2025-02-20,7.48721093676594
1844,30.30,2056-2124,1.0801461e-05,2024 UW7,0.00295,2460614.5,bK24U07W,(2024 UW7),-7.51,-8.03,55,0,2024-10-31,15.6027046461585
1845,25.52,2088-2110,5.513761e-06,2024 UU,0.027,2460627.5,bK24U00U,(2024 UU),-5.62,-5.62,2,0,2024-11-13,11.5899699551722
1846,29.25,2093-2124,9.92600059e-05,2024 UV7,0.0048,2460616.5,bK24U07V,(2024 UV7),-6.31,-6.97,141,0,2024-11-02,11.1580190961383
