make,model,version,price,fuel,year,kms,power,doors,shift,color,is_professional
BMW,Serie 5,BMW Serie 5 535dA 4p.,23990,Diésel,2013.0,109990,313.0,4,Automático,Negro,True
PORSCHE,911,PORSCHE 911 Speedster 2p.,410000,Gasolina,2019.0,150,510.0,2,Manual,Gris / Plata,True
SEAT,Córdoba,SEAT Córdoba 1.4 16V 75 CV TOP 4p.,500,Gasolina,2005.0,159000,75.0,4,Manual,Blanco,False
BMW,X6,BMW X6 xDrive30d 5p.,55490,Diésel,2018.0,26391,258.0,5,Automático,Gris / Plata,True
FORD,C-Max,FORD CMax 1.5 TDCi 120CV Business 5p.,8500,Diésel,2016.0,160000,120.0,5,Manual,Gris / Plata,True
CITROEN,C5,CITROEN C5 1.8i 16v SX 5p.,2950,Gasolina,2006.0,136377,125.0,5,Manual,Rojo,True
FORD,Fiesta,FORD Fiesta 1.6 TDCi 95cv Trend 5p 5p.,5900,Diésel,2015.0,141000,95.0,5,Manual,Blanco,False
SUZUKI,Swift,SUZUKI Swift 1.3 GL 5p 5p.,3300,Gasolina,2008.0,123000,92.0,5,Manual,Azul,True
CITROEN,Jumpy,CITROEN Jumpy Talla M BlueHDi 85KW 115CV 6v Confort,16499,Diésel,2018.0,37000,115.0,4,Manual,Blanco,True
CITROEN,C5 Aircross,CITROEN C5 Aircross BlueHdi 96kW 130CV SS C Series 5p.,26750,Diésel,2021.0,0,131.0,5,Manual,Gris / Plata,True
BMW,Serie 3,BMW Serie 3 320D 4p.,2500,Diésel,2001.0,283400,136.0,4,Manual,Negro,False
FIAT,Ducato,FIAT Ducato 35 L2 H2 2.3 1 103 kW Euro 6dtemp,18750,Diésel,2020.0,5,140.0,4,Manual,Blanco,True
FIAT,500,FIAT 500 1.2 8v 51kW 69CV Lounge 3p.,9500,Gasolina,2018.0,30000,69.0,3,Manual,Blanco,True
AUDI,A1,AUDI A1 1.6 TDI 90cv S tronic Ambition 3p.,11000,Diésel,2011.0,90000,90.0,3,Automático,Negro,True
TOYOTA,Auris,TOYOTA Auris Hybrid Active 5p.,11200,Híbrido,2014.0,84822,136.0,5,Automático,040 Blanco Classic (sÃ³lido),True
VOLKSWAGEN,Golf,VOLKSWAGEN Golf Advance 1.6 TDI BMT 5p.,12500,Diésel,2017.0,47000,110.0,5,Manual,Gris / Plata,False
